dteday,hr,temp,hum,windspeed,atemp
2013-01-01 00:00:00,0,4.4,48,11.2,4.4
2013-01-01 01:00:00,1,3.9,62,11.2,3.9
2013-01-01 02:00:00,2,3.9,59,11.2,3.9
2013-01-01 03:00:00,3,4.4,55,9.4,4.4
2013-01-01 04:00:00,4,3.9,64,9.4,3.9
2013-01-01 05:00:00,5,3.9,57,9.4,3.9
2013-01-01 06:00:00,6,3.3,67,11.2,3.3
2013-01-01 07:00:00,7,4.4,57,11.2,4.4
2013-01-01 08:00:00,8,4.4,57,5.4,4.4
2013-01-01 09:00:00,9,3.9,62,11.2,3.9
2013-01-01 10:00:00,10,4.4,55,0.0,4.4
2013-01-01 11:00:00,11,4.4,60,0.0,4.4
2013-01-01 12:00:00,12,3.9,67,0.0,3.9
2013-01-01 13:00:00,13,3.9,72,7.6,3.9
2013-01-01 14:00:00,14,5.0,60,0.0,5.0
2013-01-01 15:00:00,15,6.7,47,0.0,6.7
2013-01-01 16:00:00,16,6.7,49,7.6,6.7
2013-01-01 17:00:00,17,6.7,51,11.2,6.7
2013-01-01 18:00:00,18,7.2,51,11.2,7.2
2013-01-01 19:00:00,19,7.2,51,11.2,7.2
2013-01-01 20:00:00,20,7.2,51,13.0,7.2
2013-01-01 21:00:00,21,7.2,51,9.4,7.2
2013-01-01 22:00:00,22,6.7,53,7.6,6.7
2013-01-01 23:00:00,23,7.2,51,13.0,7.2
2013-01-02 00:00:00,0,6.1,55,20.5,6.1
2013-01-02 01:00:00,1,5.6,57,18.4,5.6
2013-01-02 02:00:00,2,5.6,57,22.3,5.6
2013-01-02 03:00:00,3,5.6,57,18.4,5.6
2013-01-02 04:00:00,4,5.0,60,18.4,5.0
2013-01-02 05:00:00,5,4.4,62,7.6,4.4
2013-01-02 06:00:00,6,4.4,60,16.6,4.4
2013-01-02 07:00:00,7,3.9,59,16.6,3.9
2013-01-02 08:00:00,8,3.3,54,9.4,3.3
2013-01-02 09:00:00,9,3.3,57,9.4,3.3
2013-01-02 10:00:00,10,2.8,56,9.4,2.8
2013-01-02 11:00:00,11,2.2,56,13.0,2.2
2013-01-02 12:00:00,12,1.7,56,14.8,1.7
2013-01-02 13:00:00,13,1.1,56,22.3,1.1
2013-01-02 14:00:00,14,1.7,52,18.4,1.7
2013-01-02 15:00:00,15,2.2,48,11.2,2.2
2013-01-02 16:00:00,16,2.8,48,22.3,2.8
2013-01-02 17:00:00,17,2.2,46,16.6,2.2
2013-01-02 18:00:00,18,2.8,42,16.6,2.8
2013-01-02 19:00:00,19,3.9,41,22.3,3.9
2013-01-02 20:00:00,20,3.3,40,24.1,3.3
2013-01-02 21:00:00,21,2.2,42,18.4,2.2
2013-01-02 22:00:00,22,1.7,44,16.6,1.7
2013-01-02 23:00:00,23,1.7,42,11.2,1.7
2013-01-03 00:00:00,0,0.6,45,11.2,0.6
2013-01-03 01:00:00,1,1.1,38,13.0,1.1
2013-01-03 02:00:00,2,0.0,43,11.2,0.0
2013-01-03 03:00:00,3,0.6,39,7.6,0.6
2013-01-03 04:00:00,4,0.0,41,7.6,0.0
2013-01-03 05:00:00,5,-0.6,45,11.2,-0.6
2013-01-03 06:00:00,6,-1.1,47,9.4,-1.1
2013-01-03 07:00:00,7,0.0,45,11.2,0.0
2013-01-03 08:00:00,8,-0.6,47,11.2,-0.6
2013-01-03 09:00:00,9,-0.6,49,9.4,-0.6
2013-01-03 10:00:00,10,-1.1,51,13.0,-1.1
2013-01-03 11:00:00,11,-1.1,51,9.4,-1.1
2013-01-03 12:00:00,12,-0.6,47,7.6,-0.6
2013-01-03 13:00:00,13,-1.1,51,7.6,-1.1
2013-01-03 14:00:00,14,-0.6,49,0.0,-0.6
2013-01-03 15:00:00,15,0.0,47,0.0,0.0
2013-01-03 16:00:00,16,0.6,47,9.4,0.6
2013-01-03 17:00:00,17,1.7,45,11.2,1.7
2013-01-03 18:00:00,18,2.2,48,11.2,2.2
2013-01-03 19:00:00,19,2.8,48,16.6,2.8
2013-01-03 20:00:00,20,3.3,48,16.6,3.3
2013-01-03 21:00:00,21,2.8,50,16.6,2.8
2013-01-03 22:00:00,22,2.8,46,13.0,2.8
2013-01-03 23:00:00,23,1.7,52,9.4,1.7
2013-01-04 00:00:00,0,0.6,61,11.2,0.6
