dteday,hr,temp,hum,windspeed,atemp
2013-01-04 01:00:00,1,1.1,56,7.6,1.1
2013-01-04 02:00:00,2,0.6,58,11.2,0.6
2013-01-04 03:00:00,3,-0.6,63,11.2,-0.6
2013-01-04 04:00:00,4,0.0,64,9.4,0.0
2013-01-04 05:00:00,5,0.0,69,0.0,0.0
2013-01-04 06:00:00,6,-0.6,66,0.0,-0.6
2013-01-04 07:00:00,7,-0.6,72,0.0,-0.6
2013-01-04 08:00:00,8,-1.7,75,7.6,-1.7
2013-01-04 09:00:00,9,-1.1,69,5.4,-1.1
2013-01-04 10:00:00,10,-0.6,63,9.4,-0.6
2013-01-04 11:00:00,11,0.0,58,7.6,0.0
2013-01-04 12:00:00,12,0.6,53,5.4,0.6
2013-01-04 13:00:00,13,0.6,56,9.4,0.6
2013-01-04 14:00:00,14,2.2,52,11.2,2.2
2013-01-04 15:00:00,15,3.9,44,16.6,3.9
2013-01-04 16:00:00,16,5.0,39,25.9,5.0
2013-01-04 17:00:00,17,6.1,38,14.8,6.1
2013-01-04 18:00:00,18,6.7,36,16.6,6.7
2013-01-04 19:00:00,19,7.2,35,14.8,7.2
2013-01-04 20:00:00,20,7.2,34,24.1,7.2
2013-01-04 21:00:00,21,7.2,34,16.6,7.2
2013-01-04 22:00:00,22,6.7,33,16.6,6.7
2013-01-04 23:00:00,23,6.1,35,20.5,6.1
2013-01-05 00:00:00,0,5.0,38,16.6,5.0
2013-01-05 01:00:00,1,4.4,39,11.2,4.4
2013-01-05 02:00:00,2,3.9,39,16.6,3.9
2013-01-05 03:00:00,3,2.8,44,7.6,2.8
2013-01-05 04:00:00,4,3.3,42,16.6,3.3
2013-01-05 05:00:00,5,2.8,44,5.4,2.8
2013-01-05 06:00:00,6,1.7,49,7.6,1.7
2013-01-05 07:00:00,7,1.1,52,13.0,1.1
2013-01-05 08:00:00,8,0.6,53,11.2,0.6
2013-01-05 09:00:00,9,2.2,44,7.6,2.2
2013-01-05 10:00:00,10,2.8,46,13.0,2.8
2013-01-05 11:00:00,11,2.8,46,18.4,2.8
2013-01-05 12:00:00,12,2.2,50,18.4,2.2
2013-01-05 13:00:00,13,2.2,50,20.5,2.2
2013-01-05 14:00:00,14,3.3,46,9.4,3.3
2013-01-05 15:00:00,15,4.4,44,9.4,4.4
2013-01-05 16:00:00,16,5.6,41,9.4,5.6
2013-01-05 17:00:00,17,6.7,38,0.0,6.7
2013-01-05 18:00:00,18,7.2,36,11.2,7.2
2013-01-05 19:00:00,19,7.8,35,0.0,7.8
2013-01-05 20:00:00,20,7.2,36,9.4,7.2
2013-01-05 21:00:00,21,6.7,41,5.4,6.7
2013-01-05 22:00:00,22,6.1,43,0.0,6.1
2013-01-05 23:00:00,23,5.0,51,0.0,5.0
2013-01-06 00:00:00,0,4.4,60,5.4,4.4
2013-01-06 01:00:00,1,4.4,50,5.4,4.4
2013-01-06 02:00:00,2,3.9,62,11.2,3.9
2013-01-06 03:00:00,3,3.3,64,7.6,3.3
2013-01-06 04:00:00,4,3.9,67,16.6,3.9
2013-01-06 05:00:00,5,4.4,70,14.8,4.4
2013-01-06 06:00:00,6,4.4,70,20.5,4.4
2013-01-06 07:00:00,7,4.4,68,5.4,4.4
2013-01-06 08:00:00,8,4.4,68,5.4,4.4
2013-01-06 09:00:00,9,3.9,72,5.4,3.9
2013-01-06 10:00:00,10,4.4,68,0.0,4.4
2013-01-06 11:00:00,11,2.8,78,0.0,2.8
2013-01-06 12:00:00,12,2.2,82,0.0,2.2
2013-01-06 13:00:00,13,1.7,82,0.0,1.7
2013-01-06 14:00:00,14,2.8,82,5.4,2.8
2013-01-06 15:00:00,15,5.0,65,0.0,5.0
2013-01-06 16:00:00,16,6.1,65,11.2,6.1
2013-01-06 17:00:00,17,7.8,51,11.2,7.8
2013-01-06 18:00:00,18,8.9,51,13.0,8.9
2013-01-06 19:00:00,19,10.0,42,16.6,10.0
2013-01-06 20:00:00,20,9.4,46,20.5,9.4
2013-01-06 21:00:00,21,11.1,35,20.5,11.1
2013-01-06 22:00:00,22,10.6,36,14.8,10.6
2013-01-06 23:00:00,23,10.6,35,13.0,10.6
2013-01-07 00:00:00,0,10.0,37,7.6,10.0
2013-01-07 01:00:00,1,10.0,37,11.2,10.0
2013-01-07 02:00:00,2,9.4,39,14.8,9.4
2013-01-07 03:00:00,3,8.9,40,11.2,8.9
2013-01-07 04:00:00,4,8.9,39,9.4,8.9
2013-01-07 05:00:00,5,7.8,43,7.6,7.8
2013-01-07 06:00:00,6,7.8,47,18.4,7.8
2013-01-07 07:00:00,7,7.2,49,13.0,7.2
2013-01-07 08:00:00,8,7.2,51,11.2,7.2
2013-01-07 09:00:00,9,7.2,51,18.4,7.2
2013-01-07 10:00:00,10,7.2,47,18.4,7.2
2013-01-07 11:00:00,11,6.7,49,16.6,6.7
2013-01-07 12:00:00,12,6.7,45,22.3,6.7
2013-01-07 13:00:00,13,6.1,49,14.8,6.1
2013-01-07 14:00:00,14,6.7,47,20.5,6.7
2013-01-07 15:00:00,15,6.7,47,18.4,6.7
2013-01-07 16:00:00,16,7.8,43,14.8,7.8
2013-01-07 17:00:00,17,8.3,40,18.4,8.3
2013-01-07 18:00:00,18,7.2,42,14.8,7.2
2013-01-07 19:00:00,19,8.3,39,9.4,8.3
2013-01-07 20:00:00,20,8.9,39,14.8,8.9
2013-01-07 21:00:00,21,8.3,39,7.6,8.3
2013-01-07 22:00:00,22,6.7,43,7.6,6.7
2013-01-07 23:00:00,23,6.1,45,9.4,6.1
2013-01-08 00:00:00,0,5.6,46,11.2,5.6
2013-01-08 01:00:00,1,5.0,48,0.0,5.0
2013-01-08 02:00:00,2,2.8,70,5.4,2.8
2013-01-08 03:00:00,3,2.2,70,5.4,2.2
2013-01-08 04:00:00,4,1.7,69,0.0,1.7
2013-01-08 05:00:00,5,1.1,79,0.0,1.1
2013-01-08 06:00:00,6,0.6,78,5.4,0.6
2013-01-08 07:00:00,7,1.1,72,0.0,1.1
2013-01-08 08:00:00,8,-0.6,82,5.4,-0.6
2013-01-08 09:00:00,9,-0.6,82,9.4,-0.6
2013-01-08 10:00:00,10,0.0,81,7.6,0.0
2013-01-08 11:00:00,11,0.0,81,11.2,0.0
2013-01-08 12:00:00,12,0.6,78,11.2,0.6
2013-01-08 13:00:00,13,1.7,75,13.0,1.7
2013-01-08 14:00:00,14,3.3,73,7.6,3.3
2013-01-08 15:00:00,15,5.6,64,14.8,5.6
2013-01-08 16:00:00,16,8.3,54,22.3,8.3
2013-01-08 17:00:00,17,8.9,54,16.6,8.9
2013-01-08 18:00:00,18,10.6,46,9.4,10.6
2013-01-08 19:00:00,19,10.0,52,16.6,10.0
2013-01-08 20:00:00,20,11.1,44,9.4,11.1
2013-01-08 21:00:00,21,11.1,46,11.2,11.1
2013-01-08 22:00:00,22,9.4,54,13.0,9.4
2013-01-08 23:00:00,23,8.3,58,9.4,8.3
2013-01-09 00:00:00,0,9.4,54,11.2,9.4
2013-01-09 01:00:00,1,6.1,70,11.2,6.1
2013-01-09 02:00:00,2,6.7,65,9.4,6.7
2013-01-09 03:00:00,3,5.0,76,7.6,5.0
2013-01-09 04:00:00,4,4.4,76,7.6,4.4
2013-01-09 05:00:00,5,3.3,86,5.4,3.3
2013-01-09 06:00:00,6,3.3,86,5.4,3.3
2013-01-09 07:00:00,7,2.2,89,7.6,2.2
2013-01-09 08:00:00,8,1.7,85,9.4,1.7
2013-01-09 09:00:00,9,2.8,82,5.4,2.8
2013-01-09 10:00:00,10,2.8,85,0.0,2.8
2013-01-09 11:00:00,11,2.2,85,0.0,2.2
2013-01-09 12:00:00,12,2.2,85,0.0,2.2
2013-01-09 13:00:00,13,2.2,89,7.6,2.2
2013-01-09 14:00:00,14,3.9,82,0.0,3.9
2013-01-09 15:00:00,15,5.6,76,9.4,5.6
2013-01-09 16:00:00,16,6.1,73,11.2,6.1
2013-01-09 17:00:00,17,7.2,74,11.2,7.2
2013-01-09 18:00:00,18,9.4,63,7.6,9.4
2013-01-09 19:00:00,19,9.4,63,0.0,9.4
2013-01-09 20:00:00,20,8.3,74,0.0,8.3
2013-01-09 21:00:00,21,8.9,71,5.4,8.9
2013-01-09 22:00:00,22,8.9,73,5.4,8.9
2013-01-09 23:00:00,23,7.2,80,5.4,7.2
2013-01-10 00:00:00,0,8.9,73,0.0,8.9
2013-01-10 01:00:00,1,7.8,76,7.6,7.8
2013-01-10 02:00:00,2,7.8,76,0.0,7.8
2013-01-10 03:00:00,3,7.8,76,0.0,7.8
2013-01-10 04:00:00,4,8.3,65,13.0,8.3
2013-01-10 05:00:00,5,12.2,37,0.0,12.2
2013-01-10 06:00:00,6,11.7,33,11.2,11.7
2013-01-10 07:00:00,7,11.1,38,11.2,11.1
2013-01-10 08:00:00,8,10.6,42,20.5,10.6
2013-01-10 09:00:00,9,10.0,42,13.0,10.0
2013-01-10 10:00:00,10,8.3,49,7.6,8.3
2013-01-10 11:00:00,11,6.7,49,14.8,6.7
2013-01-10 12:00:00,12,7.8,42,11.2,7.8
2013-01-10 13:00:00,13,7.8,43,22.3,7.8
2013-01-10 14:00:00,14,8.3,44,16.6,8.3
2013-01-10 15:00:00,15,9.4,41,20.5,9.4
2013-01-10 16:00:00,16,10.6,38,16.6,10.6
2013-01-10 17:00:00,17,11.7,35,14.8,11.7
2013-01-10 18:00:00,18,12.2,34,11.2,12.2
2013-01-10 19:00:00,19,12.8,32,16.6,12.8
2013-01-10 20:00:00,20,13.3,30,9.4,13.3
2013-01-10 21:00:00,21,12.2,31,5.4,12.2
2013-01-10 22:00:00,22,11.1,35,0.0,11.1
2013-01-10 23:00:00,23,9.4,46,11.2,9.4
2013-01-11 00:00:00,0,8.9,51,11.2,8.9
2013-01-11 01:00:00,1,8.3,49,0.0,8.3
2013-01-11 02:00:00,2,8.3,48,0.0,8.3
2013-01-11 03:00:00,3,7.8,49,0.0,7.8
2013-01-11 04:00:00,4,6.7,55,5.4,6.7
2013-01-11 05:00:00,5,6.7,53,0.0,6.7
2013-01-11 06:00:00,6,6.7,51,0.0,6.7
2013-01-11 07:00:00,7,6.1,55,0.0,6.1
2013-01-11 08:00:00,8,5.0,62,0.0,5.0
2013-01-11 09:00:00,9,4.4,70,0.0,4.4
2013-01-11 10:00:00,10,3.9,70,0.0,3.9
2013-01-11 11:00:00,11,3.9,76,0.0,3.9
2013-01-11 12:00:00,12,3.9,72,0.0,3.9
2013-01-11 13:00:00,13,4.4,76,5.4,4.4
2013-01-11 14:00:00,14,5.0,76,5.4,5.0
2013-01-11 15:00:00,15,6.1,68,0.0,6.1
2013-01-11 16:00:00,16,6.7,62,7.6,6.7
2013-01-11 17:00:00,17,7.2,63,9.4,7.2
2013-01-11 18:00:00,18,7.2,68,9.4,7.2
2013-01-11 19:00:00,19,7.8,73,7.6,7.8
2013-01-11 20:00:00,20,7.0,81,5.4,7.0
2013-01-11 21:00:00,21,6.7,89,0.0,6.7
2013-01-11 22:00:00,22,6.1,93,0.0,6.1
2013-01-11 23:00:00,23,6.1,97,5.4,6.1
2013-01-12 00:00:00,0,6.1,93,0.0,6.1
2013-01-12 01:00:00,1,6.1,93,5.4,6.1
2013-01-12 02:00:00,2,6.1,93,7.6,6.1
2013-01-12 03:00:00,3,6.1,93,5.4,6.1
2013-01-12 04:00:00,4,6.7,93,5.4,6.7
2013-01-12 05:00:00,5,7.2,90,9.4,7.2
2013-01-12 06:00:00,6,7.2,90,7.6,7.2
2013-01-12 07:00:00,7,6.7,93,5.4,6.7
2013-01-12 08:00:00,8,6.7,93,0.0,6.7
2013-01-12 09:00:00,9,6.1,93,0.0,6.1
2013-01-12 10:00:00,10,6.7,89,5.4,6.7
2013-01-12 11:00:00,11,6.1,93,7.6,6.1
2013-01-12 12:00:00,12,6.7,93,0.0,6.7
2013-01-12 13:00:00,13,6.7,89,5.4,6.7
2013-01-12 14:00:00,14,7.2,93,0.0,7.2
2013-01-12 15:00:00,15,7.8,89,0.0,7.8
2013-01-12 16:00:00,16,8.9,83,0.0,8.9
2013-01-12 17:00:00,17,8.9,83,0.0,8.9
2013-01-12 18:00:00,18,9.4,83,14.8,9.4
2013-01-12 19:00:00,19,10.0,80,9.4,10.0
2013-01-12 20:00:00,20,9.4,80,16.6,9.4
2013-01-12 21:00:00,21,9.4,83,14.8,9.4
2013-01-12 22:00:00,22,8.9,86,11.2,8.9
2013-01-12 23:00:00,23,8.0,93,7.6,8.0
2013-01-13 00:00:00,0,7.2,93,11.2,7.2
2013-01-13 01:00:00,1,7.8,93,7.6,7.8
2013-01-13 02:00:00,2,7.2,97,0.0,7.2
2013-01-13 03:00:00,3,7.2,97,7.6,7.2
2013-01-13 04:00:00,4,6.7,96,7.6,6.7
2013-01-13 05:00:00,5,7.0,93,7.6,7.0
2013-01-13 06:00:00,6,6.1,97,7.6,6.1
2013-01-13 07:00:00,7,6.1,97,7.6,6.1
2013-01-13 08:00:00,8,6.1,93,11.2,6.1
2013-01-13 09:00:00,9,6.1,97,0.0,6.1
2013-01-13 10:00:00,10,6.1,97,5.4,6.1
2013-01-13 11:00:00,11,6.7,96,0.0,6.7
2013-01-13 12:00:00,12,7.2,97,0.0,7.2
2013-01-13 13:00:00,13,7.8,93,7.6,7.8
2013-01-13 14:00:00,14,8.3,93,9.4,8.3
2013-01-13 15:00:00,15,9.4,93,11.2,9.4
2013-01-13 16:00:00,16,8.9,96,0.0,8.9
2013-01-13 17:00:00,17,10.6,96,5.4,10.6
2013-01-13 18:00:00,18,12.2,90,0.0,12.2
2013-01-13 19:00:00,19,11.7,96,0.0,11.7
2013-01-13 20:00:00,20,11.1,97,7.6,11.1
2013-01-13 21:00:00,21,12.2,93,5.4,12.2
2013-01-13 22:00:00,22,12.8,96,7.6,12.8
2013-01-13 23:00:00,23,11.1,97,0.0,11.1
2013-01-14 00:00:00,0,9.4,97,11.2,9.4
2013-01-14 01:00:00,1,10.6,96,5.4,10.6
2013-01-14 02:00:00,2,10.6,96,0.0,10.6
2013-01-14 03:00:00,3,10.6,96,5.4,10.6
2013-01-14 04:00:00,4,10.0,96,0.0,10.0
2013-01-14 05:00:00,5,10.6,92,0.0,10.6
2013-01-14 06:00:00,6,12.2,97,11.2,12.2
2013-01-14 07:00:00,7,12.2,97,14.8,12.2
2013-01-14 08:00:00,8,15.0,93,13.0,15.0
2013-01-14 09:00:00,9,13.3,97,13.0,13.3
2013-01-14 10:00:00,10,13.3,93,5.4,13.3
2013-01-14 11:00:00,11,13.9,93,14.8,13.9
2013-01-14 12:00:00,12,13.3,93,9.4,13.3
2013-01-14 13:00:00,13,14.4,93,0.0,14.4
2013-01-14 14:00:00,14,16.1,78,20.5,16.1
2013-01-14 15:00:00,15,15.0,69,20.5,15.0
2013-01-14 16:00:00,16,14.4,57,24.1,14.4
2013-01-14 17:00:00,17,13.9,57,24.1,13.9
2013-01-14 18:00:00,18,13.3,57,16.6,13.3
2013-01-14 19:00:00,19,12.8,59,16.6,12.8
2013-01-14 20:00:00,20,12.2,57,16.6,12.2
2013-01-14 21:00:00,21,11.7,59,22.3,11.7
2013-01-14 22:00:00,22,10.0,68,9.4,10.0
2013-01-14 23:00:00,23,11.1,63,11.2,11.1
2013-01-15 00:00:00,0,11.7,56,16.6,11.7
2013-01-15 01:00:00,1,11.1,54,9.4,11.1
2013-01-15 02:00:00,2,8.9,63,25.9,8.9
2013-01-15 03:00:00,3,7.2,65,20.5,7.2
2013-01-15 04:00:00,4,6.7,76,22.3,6.7
2013-01-15 05:00:00,5,5.6,79,22.3,5.6
2013-01-15 06:00:00,6,5.6,79,14.8,5.6
2013-01-15 07:00:00,7,5.0,86,0.0,5.0
2013-01-15 08:00:00,8,5.0,89,0.0,5.0
2013-01-15 09:00:00,9,5.6,85,11.2,5.6
2013-01-15 10:00:00,10,5.0,86,14.8,5.0
2013-01-15 11:00:00,11,5.6,79,9.4,5.6
2013-01-15 12:00:00,12,5.0,89,13.0,5.0
2013-01-15 13:00:00,13,5.0,89,16.6,5.0
2013-01-15 14:00:00,14,5.0,93,20.5,5.0
2013-01-15 15:00:00,15,5.6,85,20.5,5.6
2013-01-15 16:00:00,16,5.6,89,13.0,5.6
2013-01-15 17:00:00,17,5.6,85,13.0,5.6
2013-01-15 18:00:00,18,5.6,85,16.6,5.6
2013-01-15 19:00:00,19,5.6,82,14.8,5.6
2013-01-15 20:00:00,20,5.0,89,18.4,5.0
2013-01-15 21:00:00,21,4.4,83,9.4,4.4
2013-01-15 22:00:00,22,4.4,86,11.2,4.4
2013-01-15 23:00:00,23,4.4,86,7.6,4.4
2013-01-16 00:00:00,0,4.4,83,16.6,4.4
2013-01-16 01:00:00,1,4.4,83,16.6,4.4
2013-01-16 02:00:00,2,4.0,87,16.6,4.0
2013-01-16 03:00:00,3,3.9,86,18.4,3.9
2013-01-16 04:00:00,4,3.3,86,22.3,3.3
2013-01-16 05:00:00,5,2.8,89,18.4,2.8
2013-01-16 06:00:00,6,2.8,89,16.6,2.8
2013-01-16 07:00:00,7,2.8,89,16.6,2.8
2013-01-16 08:00:00,8,2.8,89,13.0,2.8
2013-01-16 09:00:00,9,2.8,89,9.4,2.8
2013-01-16 10:00:00,10,2.8,89,9.4,2.8
2013-01-16 11:00:00,11,2.8,85,0.0,2.8
2013-01-16 12:00:00,12,3.3,86,11.2,3.3
2013-01-16 13:00:00,13,3.3,86,5.4,3.3
2013-01-16 14:00:00,14,3.3,82,0.0,3.3
2013-01-16 15:00:00,15,3.9,86,9.4,3.9
2013-01-16 16:00:00,16,4.4,86,13.0,4.4
2013-01-16 17:00:00,17,4.4,86,14.8,4.4
2013-01-16 18:00:00,18,4.4,89,25.9,4.4
2013-01-16 19:00:00,19,5.0,86,9.4,5.0
2013-01-16 20:00:00,20,5.6,85,7.6,5.6
2013-01-16 21:00:00,21,6.0,81,5.4,6.0
2013-01-16 22:00:00,22,5.6,85,9.4,5.6
2013-01-16 23:00:00,23,6.1,86,7.6,6.1
2013-01-17 00:00:00,0,5.6,89,7.6,5.6
2013-01-17 01:00:00,1,6.1,86,11.2,6.1
2013-01-17 02:00:00,2,6.1,86,7.6,6.1
2013-01-17 03:00:00,3,6.1,89,9.4,6.1
2013-01-17 04:00:00,4,6.1,89,0.0,6.1
2013-01-17 05:00:00,5,6.1,89,0.0,6.1
2013-01-17 06:00:00,6,6.1,89,0.0,6.1
2013-01-17 07:00:00,7,6.1,89,7.6,6.1
2013-01-17 08:00:00,8,6.1,93,11.2,6.1
2013-01-17 09:00:00,9,6.1,93,5.4,6.1
2013-01-17 10:00:00,10,6.1,93,0.0,6.1
2013-01-17 11:00:00,11,6.1,93,9.4,6.1
2013-01-17 12:00:00,12,6.7,89,5.4,6.7
2013-01-17 13:00:00,13,7.2,58,11.2,7.2
2013-01-17 14:00:00,14,7.2,53,11.2,7.2
2013-01-17 15:00:00,15,7.2,51,11.2,7.2
2013-01-17 16:00:00,16,7.2,51,16.6,7.2
2013-01-17 17:00:00,17,6.7,55,20.5,6.7
2013-01-17 18:00:00,18,7.2,56,18.4,7.2
2013-01-17 19:00:00,19,6.7,55,16.6,6.7
2013-01-17 20:00:00,20,6.1,60,13.0,6.1
2013-01-17 21:00:00,21,6.1,60,14.8,6.1
2013-01-17 22:00:00,22,5.6,64,9.4,5.6
2013-01-17 23:00:00,23,5.0,70,0.0,5.0
2013-01-18 00:00:00,0,5.0,73,5.4,5.0
2013-01-18 01:00:00,1,5.0,62,13.0,5.0
2013-01-18 02:00:00,2,5.0,62,11.2,5.0
2013-01-18 03:00:00,3,5.0,65,18.4,5.0
2013-01-18 04:00:00,4,5.0,62,16.6,5.0
2013-01-18 05:00:00,5,4.4,62,14.8,4.4
2013-01-18 06:00:00,6,4.4,62,9.4,4.4
2013-01-18 07:00:00,7,4.4,60,13.0,4.4
2013-01-18 08:00:00,8,3.9,59,13.0,3.9
2013-01-18 09:00:00,9,3.3,57,20.5,3.3
2013-01-18 10:00:00,10,3.3,54,18.4,3.3
2013-01-18 11:00:00,11,3.3,50,22.3,3.3
2013-01-18 12:00:00,12,3.3,46,24.1,3.3
2013-01-18 13:00:00,13,2.2,50,25.9,2.2
2013-01-18 14:00:00,14,1.7,49,29.5,1.7
2013-01-18 15:00:00,15,2.2,44,31.3,2.2
2013-01-18 16:00:00,16,2.2,37,29.5,2.2
2013-01-18 17:00:00,17,2.2,35,29.5,2.2
2013-01-18 18:00:00,18,2.2,31,22.3,2.2
2013-01-18 19:00:00,19,2.8,28,25.9,2.8
2013-01-18 20:00:00,20,3.3,31,16.6,3.3
2013-01-18 21:00:00,21,3.3,30,14.8,3.3
2013-01-18 22:00:00,22,2.8,31,0.0,2.8
2013-01-18 23:00:00,23,1.7,36,9.4,1.7
2013-01-19 00:00:00,0,1.1,43,9.4,1.1
2013-01-19 01:00:00,1,1.1,40,9.4,1.1
2013-01-19 02:00:00,2,0.6,47,14.8,0.6
2013-01-19 03:00:00,3,0.0,51,13.0,0.0
2013-01-19 04:00:00,4,1.1,52,24.1,1.1
2013-01-19 05:00:00,5,1.1,59,18.4,1.1
2013-01-19 06:00:00,6,1.1,59,24.1,1.1
2013-01-19 07:00:00,7,1.1,61,20.5,1.1
2013-01-19 08:00:00,8,1.1,64,18.4,1.1
2013-01-19 09:00:00,9,1.1,64,18.4,1.1
2013-01-19 10:00:00,10,1.1,67,24.1,1.1
2013-01-19 11:00:00,11,1.1,64,24.1,1.1
2013-01-19 12:00:00,12,1.1,61,18.4,1.1
2013-01-19 13:00:00,13,1.7,61,16.6,1.7
2013-01-19 14:00:00,14,2.8,59,22.3,2.8
2013-01-19 15:00:00,15,4.4,55,14.8,4.4
2013-01-19 16:00:00,16,6.1,49,20.5,6.1
2013-01-19 17:00:00,17,8.3,48,20.5,8.3
2013-01-19 18:00:00,18,10.0,41,22.3,10.0
2013-01-19 19:00:00,19,11.7,35,24.1,11.7
2013-01-19 20:00:00,20,12.2,34,24.1,12.2
2013-01-19 21:00:00,21,12.2,34,25.9,12.2
2013-01-19 22:00:00,22,11.1,36,24.1,11.1
2013-01-19 23:00:00,23,8.9,50,18.4,8.9
2013-01-20 00:00:00,0,8.3,46,22.3,8.3
2013-01-20 01:00:00,1,8.3,42,25.9,8.3
2013-01-20 02:00:00,2,7.2,47,18.4,7.2
2013-01-20 03:00:00,3,7.2,47,25.9,7.2
2013-01-20 04:00:00,4,6.7,51,20.5,6.7
2013-01-20 05:00:00,5,7.2,49,24.1,7.2
2013-01-20 06:00:00,6,7.2,49,18.4,7.2
2013-01-20 07:00:00,7,7.2,49,22.3,7.2
2013-01-20 08:00:00,8,6.7,51,16.6,6.7
2013-01-20 09:00:00,9,5.6,55,13.0,5.6
2013-01-20 10:00:00,10,5.6,55,13.0,5.6
2013-01-20 11:00:00,11,5.0,57,14.8,5.0
2013-01-20 12:00:00,12,4.4,60,14.8,4.4
2013-01-20 13:00:00,13,5.0,60,16.6,5.0
2013-01-20 14:00:00,14,7.2,51,16.6,7.2
2013-01-20 15:00:00,15,9.4,44,22.3,9.4
2013-01-20 16:00:00,16,11.7,39,22.3,11.7
2013-01-20 17:00:00,17,13.9,36,20.5,13.9
2013-01-20 18:00:00,18,15.6,29,14.8,15.6
2013-01-20 19:00:00,19,16.1,22,29.5,16.1
2013-01-20 20:00:00,20,15.6,20,29.5,15.6
2013-01-20 21:00:00,21,14.4,19,29.5,14.4
2013-01-20 22:00:00,22,11.7,18,24.1,11.7
2013-01-20 23:00:00,23,10.0,20,29.5,10.0
